k,i,GWP,Theta,Per_Recycl,Per_Comp,GHG_ElecInd,GHG_Trans,OCost,Name
1,1,9.2857,1.3565,0.6617,0,4.0868,0.8678,3.677,labs
2,1,2.7837,0.3955,0.6617,0,1.5389,0.3335,1.1203,labs
3,1,2.9585,0,0,0,0.8363,0,0.7842,labs
4,1,2.9229,0.0014,0.0035,0.8723,1.5409,0.0074,0.8208,labs
5,1,2.9229,0.5325,0.6617,0,1.5378,0.3335,1.1466,labs
6,1,2.9229,0.5325,0.6617,0,1.5378,0.3335,1.1466,labs
7,1,2.9229,0.4849,0.6057,0,1.4786,0.3052,1.1158,labs
8,1,3.0114,0.1007,0.0523,0,0.8913,0.0264,0.8234,labs
9,1,4.6098,1.2722,0.6616,0.0051,1.9765,0.4297,1.6917,labs
10,1,4.8213,1.2875,0.6617,0.0005,2.0663,0.447,1.7784,labs
11,1,4.8891,1.2247,0.622,0.0004,1.9626,0.3995,1.7817,labs
12,1,3.0114,0.1007,0.0523,0,0.8913,0.0264,0.8234,labs
13,1,3.9186,1.1863,0.6617,0.009,1.6482,0.3671,1.3754,labs
14,1,3.7358,1.2397,0.6614,0.0012,1.5672,0.3439,1.3119,labs
15,1,5.2886,1.3077,0.6617,0,2.278,0.4901,1.9804,labs
16,1,3.0114,0.1007,0.0523,0,0.8913,0.0264,0.8234,labs
17,1,3.646,1.2288,0.6617,0,1.5185,0.3341,1.2695,labs
18,1,6.4921,1.2729,0.6591,0.0046,2.8082,0.6071,2.4656,labs
19,1,8.2849,1.3461,0.6617,0,3.6373,0.7738,3.2543,labs
20,2,4.9773,0.8751,0.6617,0,1.549,0.3335,1.4166,pyldpe
21,2,2.7837,0.3955,0.6617,0,1.5389,0.3335,1.1203,pyldpe
22,2,2.9585,0,0,0,0.8363,0,0.7842,pyldpe
23,2,2.9229,0.0012,0.0035,0.8748,1.5456,0.0069,0.8203,pyldpe
24,2,2.9229,0.2633,0.4257,0,1.2711,0.2153,0.9975,pyldpe
25,2,2.9229,0.3974,0.6429,0,1.4992,0.3249,1.1135,pyldpe
26,2,2.9229,0.4241,0.6617,0,1.5396,0.3335,1.1391,pyldpe
27,2,3.1307,0.0628,0.0838,0,0.9109,0.0503,0.8234,pyldpe
28,2,3.5247,0.3054,0.4026,0,1.1586,0.2077,0.9975,pyldpe
29,2,3.5247,0.4696,0.5797,0,1.4551,0.2984,1.1716,pyldpe
30,2,3.5247,0.5477,0.6572,0,1.5376,0.3313,1.218,pyldpe
31,2,3.0938,0.0617,0.0843,0,0.8937,0.044,0.8234,pyldpe
32,2,3.6189,0.3103,0.4699,0,1.1865,0.2435,0.9975,pyldpe
33,2,4.1266,0.5212,0.6478,0,1.355,0.3372,1.1591,pyldpe
34,2,4.1266,0.6779,0.6559,0,1.5389,0.3306,1.2985,pyldpe
35,2,3.1305,0.0628,0.0838,0,0.9108,0.0502,0.8234,pyldpe
36,2,3.7415,0.3271,0.4789,0,1.1743,0.2575,0.9975,pyldpe
37,2,4.2555,0.5555,0.6617,0,1.351,0.3421,1.1716,pyldpe
38,2,4.7284,0.7238,0.6434,0.0014,1.4916,0.34,1.3184,pyldpe
39,3,17.5033,0.6521,0.6617,0,5.9847,1.2535,5.8295,pyhdpe
40,3,2.7837,0.3955,0.6617,0,1.5389,0.3335,1.1203,pyhdpe
41,3,2.9585,0,0,0,0.8363,0,0.7842,pyhdpe
42,3,2.9229,0.0011,0.0039,0.8755,1.5479,0.0096,0.8228,pyhdpe
43,3,2.9229,0.3868,0.6425,0,1.5457,0.3347,1.1435,pyhdpe
44,3,2.9229,0.3942,0.6579,0.0004,1.6522,0.3586,1.1862,pyhdpe
45,3,2.9229,0.392,0.6498,0,1.5965,0.3418,1.1719,pyhdpe
46,3,3.1305,0.0624,0.0834,0.0022,0.9114,0.0502,0.8234,pyhdpe
47,3,7.435,0.5169,0.6566,0,2.4799,0.5748,2.2822,pyhdpe
48,3,7.4913,0.4874,0.6617,0.0197,3.0242,0.675,2.5906,pyhdpe
49,3,7.4043,0.5327,0.6611,0.0001,2.4706,0.5773,2.2783,pyhdpe
50,3,3.13,0.0612,0.0815,0.0002,0.9103,0.0492,0.8234,pyhdpe
51,3,7.7264,0.5374,0.6617,0,2.5806,0.5987,2.391,pyhdpe
52,3,11.9821,0.5578,0.6617,0.001,4.0448,0.9398,3.8089,pyhdpe
53,3,10.8119,0.5815,0.6617,0.0006,3.6682,0.8141,3.4657,pyhdpe
54,3,3.094,0.0613,0.0874,0,0.8942,0.0456,0.8234,pyhdpe
55,3,8.0058,0.488,0.6503,0,2.6643,0.6697,2.3949,pyhdpe
56,3,12.1942,0.6067,0.6617,0,4.1362,0.8976,3.9637,pyhdpe
57,3,14.094,0.6068,0.6516,0.0003,4.8442,1.0323,4.6537,pyhdpe
58,4,6.5158,0.8053,0.6617,0,2.578,0.5903,1.9561,pypp
59,4,2.7837,0.3955,0.6617,0,1.5389,0.3335,1.1203,pypp
60,4,2.9585,0,0,0,0.8363,0,0.7842,pypp
61,4,2.9229,0.0012,0.0043,0.8813,1.5705,0.0087,0.8232,pypp
62,4,2.9229,0.4202,0.6617,0,1.5894,0.3456,1.1563,pypp
63,4,2.9229,0.423,0.6617,0,1.5777,0.3431,1.1515,pypp
64,4,2.9229,0.3927,0.6607,0,1.6825,0.3644,1.1974,pypp
65,4,3.1307,0.0628,0.0838,0,0.9109,0.0503,0.8234,pypp
66,4,4.0119,0.4844,0.6539,0.0001,1.4479,0.3654,1.1684,pypp
67,4,4.0119,0.5787,0.6617,0,1.8905,0.4209,1.4051,pypp
68,4,4.0119,0.5636,0.6579,0,1.8967,0.4248,1.3934,pypp
69,4,3.0925,0.0595,0.0848,0,0.8929,0.0442,0.8234,pypp
70,4,4.2407,0.5044,0.6617,0,1.4111,0.3714,1.1684,pypp
71,4,5.101,0.6612,0.6617,0.0005,1.9365,0.4643,1.5133,pypp
72,4,5.101,0.6684,0.6373,0,2.2141,0.4937,1.6341,pypp
73,4,3.1334,0.0624,0.0827,0,0.9119,0.0502,0.8234,pypp
74,4,4.2864,0.4679,0.6156,0,1.4313,0.3632,1.1684,pypp
75,4,5.3641,0.6438,0.6237,0,1.9389,0.4647,1.5133,pypp
76,4,6.19,0.7816,0.6617,0,2.4398,0.5623,1.8583,pypp
77,5,4.9715,0.5586,0.6617,0.1562,1.8958,0.5503,1.3931,claypla
78,5,2.7837,0.3955,0.6617,0,1.5389,0.3335,1.1203,claypla
79,5,2.9585,0,0,0,0.8363,0,0.7842,claypla
80,5,2.9229,0.003,0.0044,0.89,1.5997,0.0085,0.823,claypla
81,5,2.9229,0.2545,0.4108,0,1.2562,0.2078,0.9901,claypla
82,5,2.9229,0.4129,0.6577,0.0271,1.6011,0.3548,1.1536,claypla
83,5,2.9229,0.4174,0.6617,0.0284,1.61,0.3584,1.158,claypla
84,5,3.1412,0.0584,0.0754,0,0.9143,0.0483,0.8234,claypla
